L1	3.8	D2	4	70	4
L1	3.8	I2	5	70	4
L1	3.8	R2	1	70	4
V2	3.6	T1	5	90	5
V2	3.6	X2	4	70	5
D1	3.6	D1	5	100	5
D1	3.6	I1	5	70	5
D1	3.6	L1	5	70	5
D1	3.6	Y1	2	80	5
Z1	3.6	R1	4	70	5
Z1	3.6	Z1	5	100	5
Z1	3.6	A2	3	80	5
Z1	3.6	O2	4	80	5
Z1	3.6	X2	4	70	5
I2	3.4	G1	3	70	5
I2	3.4	L1	5	70	5
I2	3.4	Q1	1	80	5
I2	3.4	X1	1	70	5
I2	3.4	I2	5	100	5
I2	3.4	X2	4	70	5
N1	3.3	C1	4	70	5
N1	3.3	D1	5	80	5
N1	3.3	G1	3	70	5
N1	3.3	I1	5	70	5
N1	3.3	L1	5	70	5
N1	3.3	R1	4	70	5
N1	3.3	Y1	2	80	5
J2	3.3	C1	4	70	5
J2	3.3	G1	3	70	5
J2	3.3	Q1	1	80	5
J2	3.3	T1	5	70	5
J2	3.3	U2	3	70	5
J2	3.3	X2	4	70	5
S1	3.3	F1	2	70	5
S1	3.3	P1	3	70	5
S1	3.3	F2	1	70	5
S1	3.3	I2	5	70	5
S1	3.3	M2	1	70	5
S1	3.3	R2	5	70	5
K1	3.3	T1	5	70	5
K1	3.3	X1	1	70	5
K1	3.3	X2	4	70	5
I1	3.3	D1	5	70	5
I1	3.3	I1	5	100	5
I1	3.3	L1	5	80	5
I1	3.3	P1	3	70	5
I1	3.3	Y1	2	70	5
I1	3.3	F2	1	70	5
I1	3.3	R2	5	90	5
K2	3.3	A1	4	80	5
K2	3.3	G1	3	70	5
K2	3.3	T1	5	70	5
K2	3.3	K2	3	100	5
K2	3.3	U2	3	70	5
B2	3.7	E1	4	70	6
B2	3.7	L1	5	70	6
B2	3.7	R1	4	70	6
B2	3.7	B2	5	100	6
B2	3.7	V2	2	80	6
B2	3.7	X2	4	70	6
Q1	3.6	C1	3	70	6
Q1	3.6	G1	3	70	6
Q1	3.6	U1	4	70	6
Q1	3.6	E2	5	80	6
Q1	3.6	I2	5	80	6
Q1	3.6	X2	4	90	6
L2	3.5	D1	5	70	6
L2	3.5	E1	4	80	6
L2	3.5	I1	5	80	6
L2	3.5	N1	3	70	6
L2	3.5	P1	3	70	6
L2	3.5	W1	2	70	6
L2	3.5	L2	4	100	6
L2	3.5	R2	2	70	6
D1	3.5	D1	5	100	6
D1	3.5	E1	4	70	6
D1	3.5	I1	5	70	6
D1	3.5	L1	5	70	6
D1	3.5	N1	3	80	6
D1	3.5	U1	4	70	6
D1	3.5	L2	4	70	6
C2	3.5	D1	5	70	6
C2	3.5	E1	4	80	6
C2	3.5	I1	5	80	6
C2	3.5	N1	3	70	6
C2	3.5	P1	3	70	6
C2	3.5	W1	2	70	6
C2	3.5	L2	4	100	6
C2	3.5	R2	2	70	6
I2	3.5	G1	3	70	6
I2	3.5	L1	5	70	6
I2	3.5	S1	1	70	6
I2	3.5	I2	5	100	6
I2	3.5	X2	4	70	6
E2	3.5	E1	4	70	6
E2	3.5	G1	3	70	6
E2	3.5	N1	3	80	6
E2	3.5	U1	4	70	6
E2	3.5	E2	5	100	6
E2	3.5	X2	4	70	6
I1	3.4	D1	5	70	6
I1	3.4	I1	5	100	6
I1	3.4	L1	5	80	6
I1	3.4	N1	3	70	6
I1	3.4	P1	3	70	6
I1	3.4	W1	2	90	6
I1	3.4	F2	1	70	6
I1	3.4	L2	4	80	6
I1	3.4	R2	2	90	6
D2	3.4	G1	3	70	6
D2	3.4	I1	5	70	6
D2	3.4	L1	5	70	6
N1	3.4	C1	3	70	6
N1	3.4	D1	5	80	6
N1	3.4	E1	4	70	6
N1	3.4	G1	3	70	6
N1	3.4	I1	5	70	6
N1	3.4	L1	5	70	6
N1	3.4	N1	3	100	6
N1	3.4	R1	4	70	6
N1	3.4	U1	4	90	6
N1	3.4	W1	2	80	6
N1	3.4	E2	5	80	6
N1	3.4	L2	4	70	6
I2	4.1	G1	3	70	7
I2	4.1	L1	5	70	7
I2	4.1	Q1	2	80	7
I2	4.1	V1	4	70	7
